trajectory_id,folder,family,slot,checkpoint_id,parent_numerically_valid,parent_complete,parent_insertion_success,parent_stalled,checkpoint_depth_mm,reached,reference_time_s,checkpoint_kind,prefix_numerically_valid,Y_R_tested,label_reason,depth_mm,force_n,torque_nm,normal_load_n,tilt_deg,tip_x_mm,tip_y_mm,prefix_max_force_n,prefix_max_torque_nm,prefix_max_normal_load_n,prefix_max_penetration_mm,wrist_force_n,wrist_torque_nm,wrist_force_world_0,wrist_force_world_1,wrist_force_world_2,command_tilt_deg,command_roll_deg,command_pitch_deg,tilt_triggered,tilt_ramp_fraction,prefix_max_wrist_force_n,prefix_max_wrist_torque_nm,fx,fy,fz,taux,tauy,tauz,vx,vy,vz,omegax,omegay,omegaz,qw,qx,qy,qz,joint1_rad,joint_velocity1_rad_s,joint2_rad,joint_velocity2_rad_s,joint3_rad,joint_velocity3_rad_s,joint4_rad,joint_velocity4_rad_s,joint5_rad,joint_velocity5_rad_s,joint6_rad,joint_velocity6_rad_s,joint7_rad,joint_velocity7_rad_s,sample_role,split_group_id,path_group_id,final_pitch_deg,case_id,radial_clearance_mm,effective_radial_clearance_mm,hole_diameter_mm,peg_diameter_mm,tilt_onset_fraction,tilt_onset_mm,tilt_amplitude_deg,tilt_sign,tilt_axis,tilt_ramp_duration_s
g0507_d30_pitch_pos20_try00,g0507_d30_pitch_pos20_try00,tilt_only,2,first_stall,True,True,True,False,,False,,first_stall,False,,checkpoint_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gap_tilt_characterization,g0507_d30_pitch,g0507_d30_pitch_pos20,2.0,g0507_d30_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.3,6.0,2.0,1,pitch,1.0
g0507_d30_pitch_pos20_try00,g0507_d30_pitch_pos20_try00,tilt_only,2,terminal,True,True,True,False,19.987722486257553,True,10.999999999999469,terminal,True,1,safe_policy_witness,19.987722486257553,0.08494625240564346,0.0016467450186610222,0.08380598574876785,2.008765578181404,-0.15503168106079102,0.024515453333151527,2.139486074447632,0.04064716771245003,1.93193519115448,0.028583137464011088,0.0850432887673378,0.010301152244210243,0.0820869579911232,-0.02051682025194168,-0.008552885614335537,2.0,0.0,2.0,True,1.0,,,-0.08175632357597351,0.021185539662837982,0.009107260964810848,-0.00040606039692647755,-0.001594604691490531,6.418662087526172e-05,0.00039002596167847514,0.00031851016683503985,0.003060821443796158,0.0027894917875528336,-0.0215164665132761,0.0724765807390213,-0.00012827276077587157,0.017528709024190903,2.8382797609083354e-05,0.9998462796211243,-0.4780550003051758,-0.00013744203897658736,0.5741097331047058,-1.6325891920132563e-05,0.49142783880233765,0.0002491423801984638,-1.981402039527893,-0.00013876805314794183,-0.4025287628173828,0.0001811798574635759,2.4224815368652344,0.000142920485814102,1.048867106437683,0.0003358250542078167,gap_tilt_characterization,g0507_d30_pitch,g0507_d30_pitch_pos20,2.0,g0507_d30_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.3,6.0,2.0,1,pitch,1.0
g0507_d50_pitch_pos05_try00,g0507_d50_pitch_pos05_try00,tilt_only,3,pre_tilt,True,True,True,False,10.009010881185533,True,6.9750000000019625,pre_tilt,True,,event_recorded_without_recovery_probe,10.009010881185533,0.0,0.0,0.0,0.027976455118293345,-0.06335973739624023,0.005343210887076566,0.0,0.0,0.0,0.0,0.0009675920009613037,0.00040797831024974585,0.0007882198551669717,-0.00011929030733881518,-0.00054837332572788,0.0,0.0,0.0,True,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006819915142841637,0.00021346913126762956,-0.001698026666417718,0.012842277064919472,0.05358721315860748,0.056326426565647125,-9.709779078548308e-06,0.00025405632914043963,-2.858963853213936e-05,1.0,-0.4812256395816803,0.0013851153198629618,0.5361257195472717,0.011681871488690376,0.4894469678401947,-0.0024972453247755766,-2.017956018447876,0.0027302454691380262,-0.3921210467815399,-0.010567598976194859,2.4621856212615967,0.008248901925981045,1.0449721813201904,0.006843482609838247,gap_tilt_characterization,g0507_d50_pitch,g0507_d50_pitch_pos05,0.5,g0507_d50_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.5,10.0,0.5,1,pitch,1.0
g0507_d50_pitch_pos05_try00,g0507_d50_pitch_pos05_try00,tilt_only,3,ramp_complete,True,True,True,False,14.931542426347734,True,7.975000000002758,ramp_complete,True,,event_recorded_without_recovery_probe,14.931542426347734,0.0,0.0,0.0,0.3566317985901176,0.06669759750366211,0.022494517907034606,0.0,0.0,0.0,0.0,0.0030053206719458103,0.0005771141732111573,-0.0025928618852049112,-0.0011795512400567532,0.0009579556644894183,0.5,0.0,0.5,True,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00045580961159430444,0.00014224479673430324,-0.0009842959698289633,0.013391053304076195,0.02229134924709797,0.02915273793041706,-5.0126593123422936e-05,0.003112695412710309,1.536382842459716e-05,0.9999950528144836,-0.47921377420425415,0.0015874229138717055,0.5496997833251953,0.014593533240258694,0.4875214695930481,-0.0006264533149078488,-2.0105137825012207,0.012007026001811028,-0.3997693657875061,-0.006512137595564127,2.4604721069335938,-0.007132017053663731,1.0494165420532227,0.0035261979792267084,gap_tilt_characterization,g0507_d50_pitch,g0507_d50_pitch_pos05,0.5,g0507_d50_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.5,10.0,0.5,1,pitch,1.0
g0507_d50_pitch_pos05_try00,g0507_d50_pitch_pos05_try00,tilt_only,3,first_stall,True,True,True,False,,False,,first_stall,False,,checkpoint_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gap_tilt_characterization,g0507_d50_pitch,g0507_d50_pitch_pos05,0.5,g0507_d50_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.5,10.0,0.5,1,pitch,1.0
g0507_d50_pitch_pos05_try00,g0507_d50_pitch_pos05_try00,tilt_only,3,terminal,True,True,True,False,20.051033794879913,True,11.000000000005166,terminal,True,1,safe_policy_witness,20.051033794879913,0.0,0.0,0.0,0.556726612144137,-0.09351968765258789,0.008613174941274337,0.0,0.0,0.0,0.0,0.0001293447712669149,0.00011052329500671476,9.789902833290398e-06,0.000116681148938369,-5.495204823091626e-05,0.5,0.0,0.5,True,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013894670410081744,0.00012885150499641895,0.003863960737362504,0.014252839609980583,0.10299763828516006,0.09633927792310715,-0.00016067248361650854,0.004858703818172216,7.2888483373390045e-06,0.9999881386756897,-0.48014432191848755,0.0002354261087020859,0.5628074407577515,-0.000576353573706001,0.4878700077533722,-0.0002853509213309735,-2.0059940814971924,0.0007761642918922007,-0.4104573428630829,9.478377614868805e-05,2.4624087810516357,0.0016343495808541775,1.0557875633239746,0.000618819089140743,gap_tilt_characterization,g0507_d50_pitch,g0507_d50_pitch_pos05,0.5,g0507_d50_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.5,10.0,0.5,1,pitch,1.0
g0507_d50_pitch_pos20_try00,g0507_d50_pitch_pos20_try00,tilt_only,4,pre_tilt,True,True,True,False,10.009010881185533,True,6.975000000005551,pre_tilt,True,,event_recorded_without_recovery_probe,10.009010881185533,0.0,0.0,0.0,0.027976455118293345,-0.06335973739624023,0.005343210887076566,0.0,0.0,0.0,0.0,0.0009675920009613037,0.00040797831024974585,0.0007882198551669717,-0.00011929030733881518,-0.00054837332572788,0.0,0.0,0.0,True,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006819915142841637,0.00021346913126762956,-0.001698026666417718,0.012842277064919472,0.05358721315860748,0.056326426565647125,-9.709779078548308e-06,0.00025405632914043963,-2.858963853213936e-05,1.0,-0.4812256395816803,0.0013851153198629618,0.5361257195472717,0.011681871488690376,0.4894469678401947,-0.0024972453247755766,-2.017956018447876,0.0027302454691380262,-0.3921210467815399,-0.010567598976194859,2.4621856212615967,0.008248901925981045,1.0449721813201904,0.006843482609838247,gap_tilt_characterization,g0507_d50_pitch,g0507_d50_pitch_pos20,2.0,g0507_d50_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.5,10.0,2.0,1,pitch,1.0
g0507_d50_pitch_pos20_try00,g0507_d50_pitch_pos20_try00,tilt_only,4,ramp_complete,True,True,True,False,14.707875996828081,True,7.975000000006347,ramp_complete,True,,event_recorded_without_recovery_probe,14.707875996828081,0.19101762771606445,0.0025745276361703873,0.1528145968914032,1.3852214439627455,0.1785755157470703,0.007152011676225811,0.9566640853881836,0.012294572778046131,0.7653313279151917,0.0032114633086166577,0.19198061525821686,0.024526314809918404,0.1504867821931839,0.0068589565344154835,-0.11900939047336578,2.0,0.0,2.0,True,1.0,,,-0.15237824618816376,-0.011613150127232075,0.11460250616073608,0.000205783944693394,-0.0025662758853286505,8.575686479161959e-06,0.0006689365836791694,-0.003015828086063266,-0.0010298811830580235,0.11963020265102386,-0.010307750664651394,0.006390622816979885,-2.751405736489687e-05,0.012088293209671974,-2.70386335614603e-05,0.9999269247055054,-0.4771203100681305,-0.000507652759552002,0.5574856996536255,0.021427558735013008,0.4893798828125,0.005933946929872036,-1.9925833940505981,0.02956000156700611,-0.3933773636817932,0.00014070901670493186,2.4317574501037598,-0.043595679104328156,1.0439140796661377,-0.002723410725593567,gap_tilt_characterization,g0507_d50_pitch,g0507_d50_pitch_pos20,2.0,g0507_d50_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.5,10.0,2.0,1,pitch,1.0
g0507_d50_pitch_pos20_try00,g0507_d50_pitch_pos20_try00,tilt_only,4,first_stall,True,True,True,False,,False,,first_stall,False,,checkpoint_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gap_tilt_characterization,g0507_d50_pitch,g0507_d50_pitch_pos20,2.0,g0507_d50_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.5,10.0,2.0,1,pitch,1.0
g0507_d50_pitch_pos20_try00,g0507_d50_pitch_pos20_try00,tilt_only,4,terminal,True,True,True,False,19.953136891126633,True,11.000000000005429,terminal,True,1,safe_policy_witness,19.953136891126633,0.05605150759220123,0.0010140843223780394,0.04513984173536301,2.0182909756955154,-0.16194581985473633,-0.00166070424256759,2.606426477432251,0.049212295562028885,2.3254165649414062,0.03461871892795898,0.052443139255046844,0.0023803345393389463,0.041846953332424164,-0.006374718621373177,-0.030959295108914375,2.0,0.0,2.0,True,1.0,,,-0.04402881860733032,0.019026752561330795,0.029003748670220375,-0.0002323781227460131,-0.000983507139608264,8.414954936597496e-05,0.0005227258079685271,0.00021783415286336094,0.0028599852230399847,-0.0035700981970876455,-0.02183467708528042,-0.06312978267669678,-3.774505967157893e-05,0.0176117904484272,3.1624706025468186e-05,0.9998449087142944,-0.47806358337402344,0.0001824509963626042,0.5740830898284912,0.0005302053759805858,0.49143561720848083,1.2097029866708908e-05,-1.981283187866211,0.0005551828653551638,-0.4024122953414917,-0.00037832005182281137,2.422182559967041,0.0009519941522739828,1.0488953590393066,0.00030017149401828647,gap_tilt_characterization,g0507_d50_pitch,g0507_d50_pitch_pos20,2.0,g0507_d50_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.5,10.0,2.0,1,pitch,1.0
g0507_d70_pitch_pos05_try00,g0507_d70_pitch_pos05_try00,tilt_only,5,pre_tilt,True,True,True,False,14.036936312913896,True,7.774999999992929,pre_tilt,True,,event_recorded_without_recovery_probe,14.036936312913896,0.0,0.0,0.0,0.03956468264845247,-0.06759166717529297,0.008178511961887125,0.0,0.0,0.0,0.0,0.0022673998028039932,0.0002177589776692912,0.00012135087308706716,0.00038282506284303963,0.002231552032753825,0.0,0.0,0.0,True,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014148619957268238,8.939038525568321e-05,-0.0011163875460624695,0.013619652949273586,0.1016717478632927,0.09091479331254959,-0.00018228882981929928,0.00033587217330932617,6.563370698131621e-05,0.9999999403953552,-0.4801824986934662,0.0008230531238950789,0.5450164079666138,0.01066954992711544,0.4874485433101654,-0.0021538666915148497,-2.0166592597961426,0.002742896554991603,-0.40011096000671387,-0.009210136719048023,2.4680099487304688,0.007984974421560764,1.0498701333999634,0.006529499776661396,gap_tilt_characterization,g0507_d70_pitch,g0507_d70_pitch_pos05,0.5,g0507_d70_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.7,14.0,0.5,1,pitch,1.0
g0507_d70_pitch_pos05_try00,g0507_d70_pitch_pos05_try00,tilt_only,5,ramp_complete,True,True,True,False,17.958400398492813,True,8.77499999999202,ramp_complete,True,,event_recorded_without_recovery_probe,17.958400398492813,0.0,0.0,0.0,0.3636945235202828,0.023424625396728516,0.01273062480322551,0.0,0.0,0.0,0.0,0.0036147362552583218,0.0011738158063963056,0.0001465463574277237,-8.425816304225009e-06,0.0036117543932050467,0.5,0.0,0.5,True,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015726049896329641,0.00011911755427718163,0.0004831941332668066,0.01422059629112482,0.15183836221694946,0.12431562691926956,-3.976287189288996e-05,0.0031710152979940176,5.815675467601977e-05,0.9999949336051941,-0.4788953959941864,0.0011211329838261008,0.5564205050468445,0.011983866803348064,0.4864467680454254,0.00015425779565703124,-2.0095911026000977,0.012134861201047897,-0.4060018062591553,-0.0038689705543220043,2.46476149559021,-0.008782668970525265,1.0534840822219849,0.0015673149609938264,gap_tilt_characterization,g0507_d70_pitch,g0507_d70_pitch_pos05,0.5,g0507_d70_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.7,14.0,0.5,1,pitch,1.0
g0507_d70_pitch_pos05_try00,g0507_d70_pitch_pos05_try00,tilt_only,5,first_stall,True,True,True,False,,False,,first_stall,False,,checkpoint_not_reached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gap_tilt_characterization,g0507_d70_pitch,g0507_d70_pitch_pos05,0.5,g0507_d70_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.7,14.0,0.5,1,pitch,1.0
g0507_d70_pitch_pos05_try00,g0507_d70_pitch_pos05_try00,tilt_only,5,terminal,True,True,True,False,20.021965354681015,True,10.999999999989996,terminal,True,1,safe_policy_witness,20.021965354681015,0.0,0.0,0.0,0.5143425912433909,-0.025510787963867188,0.013050459529040381,0.0,0.0,0.0,0.0,9.46076397667639e-05,0.00010298478446202353,2.055962431768421e-05,-7.9175821156241e-05,-4.753000757773407e-05,0.5,0.0,0.5,True,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.00038104335544630885,0.00016377003339584917,0.0034127291291952133,0.013332870788872242,0.013534244149923325,0.029480407014489174,-0.00010883039067266509,0.004487956874072552,-7.683670264668763e-05,0.9999898672103882,-0.48019203543663025,0.0003253598406445235,0.5625672936439514,-0.0004120937373954803,0.48775941133499146,-0.00026141482521779835,-2.0064728260040283,0.00030307244742289186,-0.4104312062263489,-0.0001808727829484269,2.463503360748291,8.559335401514545e-05,1.0558643341064453,0.0007452499121427536,gap_tilt_characterization,g0507_d70_pitch,g0507_d70_pitch_pos05,0.5,g0507_d70_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.7,14.0,0.5,1,pitch,1.0
g0507_d70_pitch_pos20_try00,g0507_d70_pitch_pos20_try00,tilt_only,6,pre_tilt,True,True,True,False,14.036936312913896,True,7.774999999992929,pre_tilt,True,,event_recorded_without_recovery_probe,14.036936312913896,0.0,0.0,0.0,0.03956468264845247,-0.06759166717529297,0.008178511961887125,0.0,0.0,0.0,0.0,0.0022673998028039932,0.0002177589776692912,0.00012135087308706716,0.00038282506284303963,0.002231552032753825,0.0,0.0,0.0,True,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014148619957268238,8.939038525568321e-05,-0.0011163875460624695,0.013619652949273586,0.1016717478632927,0.09091479331254959,-0.00018228882981929928,0.00033587217330932617,6.563370698131621e-05,0.9999999403953552,-0.4801824986934662,0.0008230531238950789,0.5450164079666138,0.01066954992711544,0.4874485433101654,-0.0021538666915148497,-2.0166592597961426,0.002742896554991603,-0.40011096000671387,-0.009210136719048023,2.4680099487304688,0.007984974421560764,1.0498701333999634,0.006529499776661396,gap_tilt_characterization,g0507_d70_pitch,g0507_d70_pitch_pos20,2.0,g0507_d70_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.7,14.0,2.0,1,pitch,1.0
g0507_d70_pitch_pos20_try00,g0507_d70_pitch_pos20_try00,tilt_only,6,ramp_complete,True,True,True,False,17.648523300886154,True,8.77499999999202,ramp_complete,True,,event_recorded_without_recovery_probe,17.648523300886154,0.7047324776649475,0.011180683970451355,0.5637872815132141,1.3852214439627455,0.10544061660766602,0.0063761963247088715,1.2303680181503296,0.018865106627345085,0.984295666217804,0.008352902113983873,0.6323081254959106,0.032955970615148544,0.46331506967544556,0.026688560843467712,-0.4294653534889221,2.0,0.0,2.0,True,1.0,,,-0.5629012584686279,-0.0318998321890831,0.42281490564346313,0.0006441846489906311,-0.011162061244249344,-3.358711546752602e-05,0.0009496593265794218,-0.00010978709178743884,-0.0006756202783435583,0.00936443917453289,-0.04466000199317932,-0.03298036381602287,-8.618821448180825e-05,0.012087992392480373,-2.1135832867003046e-05,0.9999269843101501,-0.47703853249549866,0.00035023962846025825,0.5638062953948975,0.01943342015147209,0.4885338842868805,0.005572896916419268,-1.9921021461486816,0.030233927071094513,-0.3992351293563843,0.003790666116401553,2.43640398979187,-0.05051105469465256,1.0475940704345703,-0.005216142162680626,gap_tilt_characterization,g0507_d70_pitch,g0507_d70_pitch_pos20,2.0,g0507_d70_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.7,14.0,2.0,1,pitch,1.0
