trajectory_id,checkpoint_id,checkpoint_kind,checkpoint_depth_mm,depth_mm,reached,parent_numerically_valid,parent_complete,Y_R_tested,label_reason,parent_insertion_success,parent_stalled,tilt_deg,command_tilt_deg,wrist_force_n,case_id,radial_clearance_mm,effective_radial_clearance_mm,hole_diameter_mm,peg_diameter_mm,tilt_onset_fraction,tilt_onset_mm,tilt_amplitude_deg,tilt_sign,tilt_axis,tilt_ramp_duration_s,straight_probe_present,straight_label_eligible,straight_replay_matched,straight_safe_recovery,straight_reason,straight_termination_reason,straight_recovery_censored,straight_termination_phase,straight_numerically_valid,straight_grasp_retained,straight_cleared,straight_force_budget_exceeded,straight_torque_budget_exceeded,straight_max_wrist_force_n,straight_max_wrist_torque_nm,straight_duration_s,straight_clear_time_s,straight_stop_peak_wrist_force_n,straight_realign_peak_wrist_force_n,straight_retreat_peak_wrist_force_n,straight_retreat_peak_wrist_force_mean100ms_n,straight_retreat_peak_wrist_world_z_abs_n,straight_retreat_peak_wrist_world_z_abs_mean100ms_n,straight_retreat_peak_contact_downward_resistance_n,straight_retreat_actual_withdrawal_mm,straight_retreat_commanded_withdrawal_mm,straight_retreat_contact_resistive_work_j,realign_probe_present,realign_label_eligible,realign_replay_matched,realign_safe_recovery,realign_reason,realign_termination_reason,realign_recovery_censored,realign_termination_phase,realign_numerically_valid,realign_grasp_retained,realign_cleared,realign_force_budget_exceeded,realign_torque_budget_exceeded,realign_max_wrist_force_n,realign_max_wrist_torque_nm,realign_duration_s,realign_clear_time_s,realign_stop_peak_wrist_force_n,realign_realign_peak_wrist_force_n,realign_retreat_peak_wrist_force_n,realign_retreat_peak_wrist_force_mean100ms_n,realign_retreat_peak_wrist_world_z_abs_n,realign_retreat_peak_wrist_world_z_abs_mean100ms_n,realign_retreat_peak_contact_downward_resistance_n,realign_retreat_actual_withdrawal_mm,realign_retreat_commanded_withdrawal_mm,realign_retreat_contact_resistive_work_j,paired_label_eligible,paired_measured
g0507_d30_pitch_pos20_try00,first_stall,first_stall,,,False,True,True,,checkpoint_not_reached,True,False,,,,g0507_d30_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.3,6.0,2.0,1,pitch,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
g0507_d30_pitch_pos20_try00,terminal,terminal,19.987722486257553,19.987722486257553,True,True,True,1,safe_policy_witness,True,False,2.008765578181404,2.0,0.0850432887673378,g0507_d30_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.3,6.0,2.0,1,pitch,1.0,True,True,True,True,cleared,cleared,False,retreat,True,True,True,False,False,0.30876535177230835,0.03861391544342041,4.5,4.5,0.0850432887673378,,0.30876535177230835,0.06807798442120354,0.19098831713199615,0.04134036639394859,0.24601727724075317,23.39097484946251,23.822711830445634,3.888015627371531e-05,True,False,False,,replay_mismatch,,,,,,,,,,,,,,,,,,,,,,,False,False
g0507_d50_pitch_pos05_try00,pre_tilt,pre_tilt,10.009010881185533,10.009010881185533,True,True,True,,event_recorded_without_recovery_probe,True,False,0.027976455118293345,0.0,0.0009675920009613037,g0507_d50_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.5,10.0,0.5,1,pitch,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
g0507_d50_pitch_pos05_try00,ramp_complete,ramp_complete,14.931542426347734,14.931542426347734,True,True,True,,event_recorded_without_recovery_probe,True,False,0.3566317985901176,0.5,0.0030053206719458103,g0507_d50_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.5,10.0,0.5,1,pitch,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
g0507_d50_pitch_pos05_try00,first_stall,first_stall,,,False,True,True,,checkpoint_not_reached,True,False,,,,g0507_d50_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.5,10.0,0.5,1,pitch,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
g0507_d50_pitch_pos05_try00,terminal,terminal,20.051033794879913,20.051033794879913,True,True,True,1,safe_policy_witness,True,False,0.556726612144137,0.5,0.0001293447712669149,g0507_d50_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.5,10.0,0.5,1,pitch,1.0,True,True,True,True,cleared,cleared,False,retreat,True,True,True,False,False,0.037068773061037064,0.019578073173761368,4.491666666666666,4.491666666666666,0.037068773061037064,,0.012058285064995289,0.0073775952332653105,0.007966171950101852,0.00532587431371212,0.0,23.427367210388184,23.821197848374496,0.0,True,True,True,True,cleared,cleared,False,retreat,True,True,True,False,False,0.037068773061037064,0.019578073173761368,6.483333333333333,6.483333333333333,0.037068773061037064,0.013613089919090271,0.015176843851804733,0.009359566766458252,0.0065791308879852295,0.005610699066892266,0.0,23.325908929109573,23.769244424931205,0.0,True,True
g0507_d50_pitch_pos20_try00,pre_tilt,pre_tilt,10.009010881185533,10.009010881185533,True,True,True,,event_recorded_without_recovery_probe,True,False,0.027976455118293345,0.0,0.0009675920009613037,g0507_d50_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.5,10.0,2.0,1,pitch,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
g0507_d50_pitch_pos20_try00,ramp_complete,ramp_complete,14.707875996828081,14.707875996828081,True,True,True,,event_recorded_without_recovery_probe,True,False,1.3852214439627455,2.0,0.19198061525821686,g0507_d50_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.5,10.0,2.0,1,pitch,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
g0507_d50_pitch_pos20_try00,first_stall,first_stall,,,False,True,True,,checkpoint_not_reached,True,False,,,,g0507_d50_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.5,10.0,2.0,1,pitch,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
g0507_d50_pitch_pos20_try00,terminal,terminal,19.953136891126633,19.953136891126633,True,True,True,1,safe_policy_witness,True,False,2.0182909756955154,2.0,0.052443139255046844,g0507_d50_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.5,10.0,2.0,1,pitch,1.0,True,True,True,True,cleared,cleared,False,retreat,True,True,True,False,False,0.5094607472419739,0.06495348364114761,4.5,4.5,0.052443139255046844,,0.5094607472419739,0.08054762516015519,0.312019407749176,0.04818266769871116,0.4110393226146698,23.374877870082855,23.795236497276672,4.05152226311295e-05,True,False,False,,replay_mismatch,,,,,,,,,,,,,,,,,,,,,,,False,False
g0507_d70_pitch_pos05_try00,pre_tilt,pre_tilt,14.036936312913896,14.036936312913896,True,True,True,,event_recorded_without_recovery_probe,True,False,0.03956468264845247,0.0,0.0022673998028039932,g0507_d70_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.7,14.0,0.5,1,pitch,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
g0507_d70_pitch_pos05_try00,ramp_complete,ramp_complete,17.958400398492813,17.958400398492813,True,True,True,,event_recorded_without_recovery_probe,True,False,0.3636945235202828,0.5,0.0036147362552583218,g0507_d70_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.7,14.0,0.5,1,pitch,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
g0507_d70_pitch_pos05_try00,first_stall,first_stall,,,False,True,True,,checkpoint_not_reached,True,False,,,,g0507_d70_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.7,14.0,0.5,1,pitch,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
g0507_d70_pitch_pos05_try00,terminal,terminal,20.021965354681015,20.021965354681015,True,True,True,1,safe_policy_witness,True,False,0.5143425912433909,0.5,9.46076397667639e-05,g0507_d70_pitch_pos05,0.507,0.5059210604307709,9.0,7.986,0.7,14.0,0.5,1,pitch,1.0,True,True,True,True,cleared,cleared,False,retreat,True,True,True,False,False,0.012259180657565594,0.006810886785387993,4.483333333333333,4.483333333333333,0.010462382808327675,,0.012259180657565594,0.007267882387774686,0.007430994417518377,0.005321312850962083,0.0,23.360591381788254,23.746252375311375,0.0,True,True,True,True,cleared,cleared,False,retreat,True,True,True,False,False,0.01241487730294466,0.006810886785387993,6.483333333333333,6.483333333333333,0.010462382808327675,0.01241487730294466,0.012114924378693104,0.008735735473843912,0.009648890234529972,0.007585927455996473,0.0,23.349184542894363,23.746252375311375,0.0,True,True
g0507_d70_pitch_pos20_try00,pre_tilt,pre_tilt,14.036936312913896,14.036936312913896,True,True,True,,event_recorded_without_recovery_probe,True,False,0.03956468264845247,0.0,0.0022673998028039932,g0507_d70_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.7,14.0,2.0,1,pitch,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
g0507_d70_pitch_pos20_try00,ramp_complete,ramp_complete,17.648523300886154,17.648523300886154,True,True,True,,event_recorded_without_recovery_probe,True,False,1.3852214439627455,2.0,0.6323081254959106,g0507_d70_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.7,14.0,2.0,1,pitch,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
g0507_d70_pitch_pos20_try00,first_stall,first_stall,,,False,True,True,,checkpoint_not_reached,True,False,,,,g0507_d70_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.7,14.0,2.0,1,pitch,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
g0507_d70_pitch_pos20_try00,terminal,terminal,19.935031980276108,19.935031980276108,True,True,True,1,safe_policy_witness,True,False,1.9959616825630206,2.0,0.008545479737222195,g0507_d70_pitch_pos20,0.507,0.5059210604307709,9.0,7.986,0.7,14.0,2.0,1,pitch,1.0,True,True,True,True,cleared,cleared,False,retreat,True,True,True,False,False,0.43804308772087097,0.056150466203689575,4.5,4.5,0.12488846480846405,,0.43804308772087097,0.08789792230042319,0.2693280279636383,0.049122982270394765,0.3530910909175873,23.35190773010254,23.78085367530326,3.370790864222113e-05,True,False,False,,replay_mismatch,,,,,,,,,,,,,,,,,,,,,,,False,False
